Project Name,Transacted Price ($),Strata/Land Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Strata/Land Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
ORION @ PAYA LEBAR,"2,025,000","2,411.14",840,25 Sep 2017,160 PAYA LEBAR ROAD #06-04,Resale,Strata,224,"9,040",Warehouse,Freehold,14,40,409022,Central Region,Geylang
CSI DISTRIBUTION CENTRE,"3,470,760","5,597.28",620,28 Sep 2017,"2 KIM CHUAN DRIVE #02-01,02,03",Resale,Strata,520,"6,675",Warehouse,Freehold,19,53,537080,North East Region,Hougang
CITILINK WAREHOUSE COMPLEX,"890,000","1,194.8",745,06 Oct 2017,102F PASIR PANJANG ROAD #08-04,Resale,Strata,111,"8,018",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
I.BIZ CENTRE,"670,000","3,067.74",218,12 Oct 2017,32 OLD TOH TUCK ROAD #03-01,Resale,Strata,285,"2,351",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
CARROS CENTRE,"1,453,400","1,689.95",860,23 Oct 2017,60 JALAN LAM HUAT #05-70,Resale,Strata,157,"9,257",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
SING INDUSTRIAL COMPLEX,"770,000","2,723.29",283,27 Oct 2017,32 ANG MO KIO INDUSTRIAL PARK 2 #01-05,Resale,Strata,253,"3,043",Warehouse,60 yrs from 18/10/1982,20,56,569510,North East Region,Serangoon
I.BIZ CENTRE,"908,000","2,809.4",323,30 Oct 2017,32 OLD TOH TUCK ROAD #01-14,Resale,Strata,261,"3,479",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
CARROS CENTRE,"1,419,556","1,689.95",840,01 Nov 2017,60 JALAN LAM HUAT #03-71,Resale,Strata,157,"9,042",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
JOO SENG WAREHOUSE,"1,900,000","3,498.3",543,03 Nov 2017,3 UPPER ALJUNIED LINK #07-01,Resale,Strata,325,"5,846",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
HILLVIEW WAREHOUSE,"850,000","1,862.17",456,07 Nov 2017,29 HILLVIEW TERRACE #04-03,Resale,Strata,173,"4,913",Warehouse,Freehold,23,66,669245,West Region,Bukit Batok
N.A.,"16,000,000","12,069.67","1,326",21 Nov 2017,10A JALAN AMPAS,Resale,Land,"1,121.3","14,269",Warehouse,Freehold,12,32,329511,Central Region,Novena
MACTECH BUILDING,"1,388,000","2,012.87",690,01 Dec 2017,2 KALLANG PUDDING ROAD #02-05,Resale,Strata,187,"7,422",Warehouse,Freehold,13,34,349307,Central Region,Geylang
HILLVIEW WAREHOUSE,"848,330","1,905.23",445,08 Dec 2017,29 HILLVIEW TERRACE #02-02,Resale,Strata,177,"4,793",Warehouse,Freehold,23,66,669245,West Region,Bukit Batok
GORDON WAREHOUSE BUILDING,"420,000","1,743.77",241,10 Dec 2017,9 KAKI BUKIT ROAD 2 #02-16,Resale,Strata,162,"2,593",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
ORION @ PAYA LEBAR,"1,500,000","1,711.48",876,15 Jan 2018,160 PAYA LEBAR ROAD #06-03,Resale,Strata,159,"9,434",Warehouse,Freehold,14,40,409022,Central Region,Geylang
NIPPON EXPRESS SINGAPORE BUILDING,"73,800,000","162,087.54",455,18 Jan 2018,40 ALPS AVENUE,Resale,Land,"15,058.3","4,901",Warehouse,30+30 yrs from 16/08/2005,17,49,498781,East Region,Changi  
VERTEX,"2,900,000","4,714.63",615,09 Feb 2018,33 UBI AVENUE 3 #01-27,Resale,Strata,438,"6,621",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
CARROS CENTRE,"2,479,450","2,917.04",850,13 Feb 2018,60 JALAN LAM HUAT #03-08,Resale,Strata,271,"9,149",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
CARROS CENTRE,"3,568,266","4,219.49",846,21 Feb 2018,"60 JALAN LAM HUAT #05-39,40",Resale,Strata,392,"9,103",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
VERTEX,"1,650,000","2,884.75",572,28 Feb 2018,33 UBI AVENUE 3 #01-24,Resale,Strata,268,"6,157",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
OXLEY BIZHUB,"1,018,168","1,894.46",537,28 Feb 2018,65 UBI ROAD 1 #04-42,Resale,Strata,176,"5,785",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
QUARTZ INDUSTRIAL BUILDING,"2,900,000","5,209.78",557,12 Mar 2018,"5 UPPER ALJUNIED LINK #06-05,06",Resale,Strata,484,"5,992",Warehouse,Freehold,13,36,367903,Central Region,Toa Payoh
RUBY WAREHOUSE,"300,000","1,496.2",201,16 Mar 2018,8 KAKI BUKIT ROAD 2 #03-07,Resale,Strata,139,"2,158",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
TANNERY HOUSE,"1,168,800","1,948.28",600,22 Mar 2018,37 TANNERY LANE #02-04,Resale,Strata,181,"6,457",Warehouse,Freehold,13,34,347790,Central Region,Geylang
RUBY WAREHOUSE,"300,000","1,496.2",201,27 Mar 2018,8 KAKI BUKIT ROAD 2 #04-05,Resale,Strata,139,"2,158",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
GOLDEN WHEEL INDUSTRIAL BUILDING,"828,800","1,184.04",700,27 Mar 2018,50 KALLANG PUDDING ROAD #07-08,Resale,Strata,110,"7,535",Warehouse,Freehold,13,34,349326,Central Region,Geylang
TANNERY HOUSE,"1,651,000","2,540.3",650,28 Mar 2018,37 TANNERY LANE #04-08,Resale,Strata,236,"6,996",Warehouse,Freehold,13,34,347790,Central Region,Geylang
SHARELY WAREHOUSE BUILDING,"698,000","1,270.15",550,03 Apr 2018,51 TANNERY LANE #03-01,Resale,Strata,118,"5,915",Warehouse,Freehold,13,34,347798,Central Region,Geylang
UB. ONE,"748,000","1,302.44",574,04 Apr 2018,81 UBI AVENUE 4 #02-10,Resale,Strata,121,"6,182",Warehouse,60 yrs from 31/12/2008,14,40,408830,Central Region,Geylang
GENTING WAREHOUSE,"1,700,000","3,196.91",532,06 Apr 2018,45 GENTING LANE #02-02,Resale,Strata,297,"5,724",Warehouse,Freehold,13,34,349557,Central Region,Geylang
GORDON WAREHOUSE BUILDING,"668,000","2,486.48",269,16 Apr 2018,9 KAKI BUKIT ROAD 2 #04-25,Resale,Strata,231,"2,892",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
PANTECH BUSINESS HUB,"1,016,500","1,862.17",546,18 Apr 2018,196 PANDAN LOOP #01-10,Resale,Strata,173,"5,876",Warehouse,99 yrs from 27/01/1984,05,12,128384,West Region,Clementi
VERTEX,"3,400,000","6,113.95",556,20 Apr 2018,33 UBI AVENUE 3 #01-20,Resale,Strata,568,"5,986",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
JOO SENG WAREHOUSE,"1,350,000","2,055.92",657,25 Apr 2018,3 UPPER ALJUNIED LINK #02-02,Resale,Strata,191,"7,068",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
JOO SENG WAREHOUSE,"1,200,000","2,109.74",569,30 Apr 2018,1 UPPER ALJUNIED LINK #06-02,Resale,Strata,196,"6,122",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
OXLEY BIZHUB,"1,100,000","1,700.71",647,08 May 2018,65 UBI ROAD 1 #01-53,Resale,Strata,158,"6,962",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
CITY WAREHOUSE,"573,000","2,766.35",207,09 May 2018,5 KAKI BUKIT ROAD 2 #03-11,Resale,Strata,257,"2,230",Warehouse,60 yrs from 17/12/1981,14,41,417839,East Region,Bedok
GORDON WAREHOUSE BUILDING,"2,088,888","7,125.77",293,10 May 2018,9 KAKI BUKIT ROAD 2 #01-15,Resale,Strata,662,"3,155",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
QUARTZ INDUSTRIAL BUILDING,"2,200,000","3,132.32",702,10 May 2018,5 UPPER ALJUNIED LINK #01-07,Resale,Strata,291,"7,560",Warehouse,Freehold,13,36,367903,Central Region,Toa Payoh
I.BIZ CENTRE,"670,000","3,110.8",215,21 May 2018,32 OLD TOH TUCK ROAD #02-06,Resale,Strata,289,"2,318",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
HILLVIEW WAREHOUSE,"800,000","1,722.24",465,22 May 2018,29 HILLVIEW TERRACE #04-04,Resale,Strata,160,"5,000",Warehouse,Freehold,23,66,669245,West Region,Bukit Batok
ELITE INDUSTRIAL BUILDING I,"923,000","1,420.85",650,28 May 2018,32 KALLANG PUDDING ROAD #02-03,Resale,Strata,132,"6,992",Warehouse,Freehold,13,34,349313,Central Region,Geylang
GOLDEN WHEEL INDUSTRIAL BUILDING,"2,450,000","3,756.64",652,30 May 2018,50 KALLANG PUDDING ROAD #01-06,Resale,Strata,349,"7,020",Warehouse,Freehold,13,34,349326,Central Region,Geylang
OXLEY BIZHUB,"600,000",990.29,606,08 Jun 2018,61 UBI ROAD 1 #03-04,Resale,Strata,92,"6,522",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
OXLEY BIZHUB,"750,000","1,151.75",651,18 Jun 2018,63 UBI ROAD 1 #02-49,Resale,Strata,107,"7,009",Warehouse,60 yrs from 15/11/2010,14,40,408728,Central Region,Geylang
HILLVIEW WAREHOUSE,"820,000","1,765.3",465,18 Jun 2018,29 HILLVIEW TERRACE #05-06,Resale,Strata,164,"5,000",Warehouse,Freehold,23,66,669245,West Region,Bukit Batok
PANTECH BUSINESS HUB,"1,273,300","3,638.23",350,19 Jun 2018,196 PANDAN LOOP #07-24,Resale,Strata,338,"3,767",Warehouse,99 yrs from 27/01/1984,05,12,128384,West Region,Clementi
CWT LOGISTICS HUB 3,"179,000,000","335,172.66",534,04 Jul 2018,52 TANJONG PENJURU,Resale,Land,"31,138.3","5,749",Warehouse,30+10 yrs from 01/07/2009,22,60,609034,West Region,Jurong East
CWT JURONG EAST LOGISTICS CENTRE,"115,000,000","240,537.73",478,04 Jul 2018,5A TOH GUAN ROAD EAST,Resale,Land,"22,346.5","5,146",Warehouse,30+21 yrs from 01/03/1991,22,60,608830,West Region,Clementi
CWT LOGISTICS HUB 1,"75,000,000","375,494.61",200,04 Jul 2018,38 TANJONG PENJURU,Resale,Land,"34,884.3","2,150",Warehouse,30+14 yrs from o1/11/2005,22,60,609039,West Region,Jurong East
CWT PANDAN LOGISTICS CENTRE,"117,000,000","255,764.48",457,04 Jul 2018,4 PANDAN AVENUE,Resale,Land,"23,761.1","4,924",Warehouse,30+30 yrs from 09/10/1984,22,60,609383,West Region,Jurong East
ELITE INDUSTRIAL BUILDING I,"1,835,000","2,960.1",620,12 Jul 2018,32 KALLANG PUDDING ROAD #02-06,Resale,Strata,275,"6,673",Warehouse,Freehold,13,34,349313,Central Region,Geylang
TAGORE BUILDING,"1,150,000","2,185.09",526,13 Jul 2018,6 TAGORE DRIVE #03-01,Resale,Strata,203,"5,665",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
ORION @ PAYA LEBAR,"1,538,000","1,700.71",904,19 Jul 2018,160 PAYA LEBAR ROAD #02-05,Resale,Strata,158,"9,734",Warehouse,Freehold,14,40,409022,Central Region,Geylang
OXLEY BIZHUB,"590,000",990.29,596,25 Jul 2018,61 UBI ROAD 1 #03-14,Resale,Strata,92,"6,413",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
I.BIZ CENTRE,"700,000","2,938.57",238,10 Aug 2018,32 OLD TOH TUCK ROAD #03-09,Resale,Strata,273,"2,564",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
CITILINK WAREHOUSE COMPLEX,"800,000",947.23,845,14 Aug 2018,102E PASIR PANJANG ROAD #02-12,Resale,Strata,88,"9,091",Warehouse,Freehold,05,11,118529,Central Region,Queenstown
JOO SENG WAREHOUSE,"2,450,000","4,219.49",581,17 Aug 2018,"1 UPPER ALJUNIED LINK #07-04,05",Resale,Strata,392,"6,250",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
CITILINK WAREHOUSE COMPLEX,"1,570,000","1,765.3",889,20 Aug 2018,102E PASIR PANJANG ROAD #03-06,Resale,Strata,164,"9,573",Warehouse,Freehold,05,11,118529,Central Region,Queenstown
THE WESTCOM,"700,000","2,098.98",333,29 Aug 2018,1 TUAS SOUTH AVENUE 6 #01-08,Resale,Strata,195,"3,590",Warehouse,60 yrs from 09/07/1996,22,63,637021,West Region,Tuas
THE WESTCOM,"900,000","3,046.21",295,29 Aug 2018,1 TUAS SOUTH AVENUE 6 #01-21,Resale,Strata,283,"3,180",Warehouse,60 yrs from 09/07/1996,22,63,637021,West Region,Tuas
TRIVEX,"550,000",871.88,631,05 Sep 2018,8 BURN ROAD #06-12,Resale,Strata,81,"6,790",Warehouse,60 yrs from 20/05/2008,13,36,369977,Central Region,Toa Payoh
CITILINK WAREHOUSE COMPLEX,"1,190,000","1,410.08",844,05 Sep 2018,102F PASIR PANJANG ROAD #02-10,Resale,Strata,131,"9,084",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
ZERVEX,"2,009,700","4,596.23",437,05 Sep 2018,"8 UBI ROAD 2 #02-09,10",Resale,Strata,427,"4,707",Warehouse,60 yrs from 30/06/2008,14,40,408538,Central Region,Geylang
VERTEX,"1,900,000","3,283.02",579,06 Sep 2018,33 UBI AVENUE 3 #01-66,Resale,Strata,305,"6,230",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
NORTH LINK BUILDING,"1,121,495","5,608.04",200,18 Sep 2018,10 ADMIRALTY STREET #01-77,Resale,Strata,521,"2,153",Warehouse,60 yrs from 09/10/1999,27,75,757695,North Region,Sembawang
HENDERSON INDUSTRIAL PARK,"1,140,000","1,646.89",692,20 Sep 2018,203 HENDERSON ROAD #12-12,Resale,Strata,153,"7,451",Warehouse,Freehold,03,15,159546,Central Region,Bukit Merah
MIDVIEW BUILDING,"500,400","1,668.42",300,25 Sep 2018,50 BUKIT BATOK STREET 23 #03-14,Resale,Strata,155,"3,228",Warehouse,60 yrs from 13/03/1997,23,65,659578,West Region,Bukit Batok
OXLEY BIZHUB,"650,000","1,130.22",575,17 Oct 2018,65 UBI ROAD 1 #02-83,Resale,Strata,105,"6,190",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
TANNERY HOUSE,"1,247,400","1,980.58",630,19 Oct 2018,37 TANNERY LANE #04-09,Resale,Strata,184,"6,779",Warehouse,Freehold,13,34,347790,Central Region,Geylang
CIVIC TERRACE WAREHOUSE,"1,725,000","6,243.12",276,13 Nov 2018,"115,115A,115B UBI AVENUE 4",Resale,Strata,580,"2,974",Warehouse,60 yrs from 19/10/1982,14,40,408763,Central Region,Geylang
VERTEX,"715,000","1,582.31",452,16 Nov 2018,33 UBI AVENUE 3 #05-46,Resale,Strata,147,"4,864",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
TAGORE BUILDING,"1,710,000","3,175.38",539,20 Nov 2018,6 TAGORE DRIVE #04-16,Resale,Strata,295,"5,797",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
PANTECH BUSINESS HUB,"700,000","1,367.03",512,21 Nov 2018,196 PANDAN LOOP #01-23,Resale,Strata,127,"5,512",Warehouse,99 yrs from 27/01/1984,05,12,128384,West Region,Clementi
JOO SENG WAREHOUSE,"1,320,000","2,109.74",626,26 Nov 2018,3 UPPER ALJUNIED LINK #06-04,Resale,Strata,196,"6,735",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
ALJUNIED INDUSTRIAL COMPLEX,"1,463,904","2,152.8",680,27 Nov 2018,623 ALJUNIED ROAD #02-05,Resale,Strata,200,"7,320",Warehouse,Freehold,14,38,389835,Central Region,Geylang
OXLEY BIZHUB,"830,000","1,593.07",521,21 Dec 2018,61 UBI ROAD 1 #04-23,Resale,Strata,148,"5,608",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
CARROS CENTRE,"1,429,260","1,733",825,28 Dec 2018,60 JALAN LAM HUAT #03-02,Resale,Strata,161,"8,877",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
MIDVIEW BUILDING,"288,888",958,302,03 Jan 2019,50 BUKIT BATOK STREET 23 #02-11,Resale,Strata,89,"3,246",Warehouse,60 yrs from 13/03/1997,23,65,659578,West Region,Bukit Batok
OXLEY BIZHUB,"1,350,000","2,303.5",586,08 Jan 2019,65 UBI ROAD 1 #01-56,Resale,Strata,214,"6,308",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
OXLEY BIZHUB,"1,350,000","2,303.5",586,08 Jan 2019,65 UBI ROAD 1 #01-57,Resale,Strata,214,"6,308",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
NORTH LINK BUILDING,"1,200,000","5,188.25",231,15 Jan 2019,10 ADMIRALTY STREET #01-48,Resale,Strata,482,"2,490",Warehouse,60 yrs from 09/10/1999,27,75,757695,North Region,Sembawang
WCEGA PLAZA,"750,000","2,561.83",293,23 Jan 2019,1 BUKIT BATOK CRESCENT #02-37,Resale,Strata,238,"3,151",Warehouse,60 yrs from 13/03/1997,23,65,658064,West Region,Bukit Batok
OXLEY BIZHUB 2,"1,050,000","1,915.99",548,29 Jan 2019,62 UBI ROAD 1 #01-34,Resale,Strata,178,"5,899",Warehouse,60 yrs from 10/06/2011,14,40,408734,Central Region,Geylang
OXLEY BIZHUB 2,"1,050,000","1,915.99",548,29 Jan 2019,62 UBI ROAD 1 #01-35,Resale,Strata,178,"5,899",Warehouse,60 yrs from 10/06/2011,14,40,408734,Central Region,Geylang
OXLEY BIZHUB 2,"1,050,000","1,915.99",548,29 Jan 2019,62 UBI ROAD 1 #01-25,Resale,Strata,178,"5,899",Warehouse,60 yrs from 10/06/2011,14,40,408734,Central Region,Geylang
OXLEY BIZHUB 2,"1,050,000","1,915.99",548,29 Jan 2019,62 UBI ROAD 1 #01-24,Resale,Strata,178,"5,899",Warehouse,60 yrs from 10/06/2011,14,40,408734,Central Region,Geylang
UB. ONE,"740,000","1,302.44",568,08 Feb 2019,81 UBI AVENUE 4 #02-06,Resale,Strata,121,"6,116",Warehouse,60 yrs from 31/12/2008,14,40,408830,Central Region,Geylang
WCEGA PLAZA,"800,000","2,669.47",300,13 Feb 2019,1 BUKIT BATOK CRESCENT #02-17,Resale,Strata,248,"3,226",Warehouse,60 yrs from 13/03/1997,23,65,658064,West Region,Bukit Batok
KEWALRAM HOUSE,"1,030,000","2,281.97",451,14 Feb 2019,8 JALAN KILANG TIMOR #03-04A,Resale,Strata,212,"4,858",Warehouse,99 yrs from 01/01/1961,03,15,159305,Central Region,Bukit Merah
MIDVIEW BUILDING,"803,000","1,862.17",431,14 Feb 2019,50 BUKIT BATOK STREET 23 #01-26,Resale,Strata,173,"4,642",Warehouse,60 yrs from 13/03/1997,23,65,659578,West Region,Bukit Batok
TAGORE BUILDING,"740,000","1,227.1",603,18 Feb 2019,6 TAGORE DRIVE #02-12,Resale,Strata,114,"6,491",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
CARROS CENTRE,"1,720,087","2,023.63",850,07 Mar 2019,60 JALAN LAM HUAT #05-80,Resale,Strata,188,"9,149",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
JOO SENG WAREHOUSE,"1,393,380","2,109.74",660,15 Mar 2019,3 UPPER ALJUNIED LINK #04-02,Resale,Strata,196,"7,109",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
GORDON WAREHOUSE BUILDING,"776,007","2,238.91",347,20 Mar 2019,9 KAKI BUKIT ROAD 2 #01-08,Resale,Strata,208,"3,731",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
GORDON WAREHOUSE BUILDING,"973,992","2,809.4",347,20 Mar 2019,9 KAKI BUKIT ROAD 2 #01-07,Resale,Strata,261,"3,732",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
CARROS CENTRE,"1,402,700","1,689.95",830,25 Mar 2019,60 JALAN LAM HUAT #05-11,Resale,Strata,157,"8,934",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
NOVELTY BIZCENTRE,"1,290,000","1,216.33","1,061",27 Mar 2019,18 HOWARD ROAD #02-01,Resale,Strata,113,"11,416",Warehouse,Freehold,13,36,369585,Central Region,Toa Payoh
OXLEY BIZHUB,"600,000","1,140.98",526,02 Apr 2019,61 UBI ROAD 1 #03-15,Resale,Strata,106,"5,660",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
VERTEX,"2,920,000","7,007.36",417,08 Apr 2019,33 UBI AVENUE 3 #03-08,Resale,Strata,651,"4,485",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
LINK@AMK,"3,800,000","7,911.54",480,12 Apr 2019,3 ANG MO KIO STREET 62 #01-64,Resale,Strata,735,"5,170",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
LIBERTY WAREHOUSE,"560,000","1,119.46",500,15 Apr 2019,220 TAGORE LANE #01-07,Resale,Strata,104,"5,385",Warehouse,Freehold,26,78,787600,North East Region,Ang Mo Kio
